language name	iso 639-2t	iso 639-2b	iso 639-1	iri	ISO 639-2T
Tibetan	bod	tib	bo	http://purl.obolibrary.org/obo/OMRSE_00000553	BOD
Tuvinian	tyv	tyv		http://purl.obolibrary.org/obo/OMRSE_00000891	TYV
Inupiaq	ipk	ipk	ik	http://purl.obolibrary.org/obo/OMRSE_00000679	IPK
Avaric	ava	ava	av	http://purl.obolibrary.org/obo/OMRSE_00000533	AVA
Kurdish	kur	kur	ku	http://purl.obolibrary.org/obo/OMRSE_00000715	KUR
Tagalog	tgl	tgl	tl	http://purl.obolibrary.org/obo/OMRSE_00000871	TGL
Yapese	yap	yap		http://purl.obolibrary.org/obo/OMRSE_00000912	YAP
Konkani	kok	kok		http://purl.obolibrary.org/obo/OMRSE_00000704	KOK
Tamil	tam	tam	ta	http://purl.obolibrary.org/obo/OMRSE_00000864	TAM
Russian	rus	rus	ru	http://purl.obolibrary.org/obo/OMRSE_00000820	RUS
Zapotec	zap	zap		http://purl.obolibrary.org/obo/OMRSE_00000915	ZAP
Nias	nia	nia		http://purl.obolibrary.org/obo/OMRSE_00000775	NIA
Yiddish	yid	yid	yi	http://purl.obolibrary.org/obo/OMRSE_00000913	YID
Welsh	cym	wel	cy	http://purl.obolibrary.org/obo/OMRSE_00000588	CYM
Chechen	che	che	ce	http://purl.obolibrary.org/obo/OMRSE_00000569	CHE
Slovenian	slv	slv	sl	http://purl.obolibrary.org/obo/OMRSE_00000836	SLV
Lunda	lun	lun		http://purl.obolibrary.org/obo/OMRSE_00000734	LUN
Vai	vai	vai		http://purl.obolibrary.org/obo/OMRSE_00000899	VAI
Sango	sag	sag	sg	http://purl.obolibrary.org/obo/OMRSE_00000822	SAG
Dinka	din	din		http://purl.obolibrary.org/obo/OMRSE_00000596	DIN
Sardinian	srd	srd	sc	http://purl.obolibrary.org/obo/OMRSE_00000850	SRD
Maltese	mlt	mlt	mt	http://purl.obolibrary.org/obo/OMRSE_00000756	MLT
Dzongkha	dzo	dzo	dz	http://purl.obolibrary.org/obo/OMRSE_00000604	DZO
Mapudungun	arn	arn		http://purl.obolibrary.org/obo/OMRSE_00000528	ARN
Bemba	bem	bem		http://purl.obolibrary.org/obo/OMRSE_00000546	BEM
Latvian	lav	lav	lv	http://purl.obolibrary.org/obo/OMRSE_00000722	LAV
Tamashek	tmh	tmh		http://purl.obolibrary.org/obo/OMRSE_00000879	TMH
Portuguese	por	por	pt	http://purl.obolibrary.org/obo/OMRSE_00000808	POR
Bhojpuri	bho	bho		http://purl.obolibrary.org/obo/OMRSE_00000548	BHO
